initial_mass,initial_Z,star_age,model_number,log_Teff,log_L,log_g
1.4,0.008,2240937000.0,42039,3.72702781,3.92996403,0.16890522
1.4,0.008,2240937000.0,42041,3.72710257,3.93000732,0.16916077
1.4,0.008,2240937000.0,42057,3.72766083,3.92997858,0.17142081
1.4,0.008,2240937000.0,42056,3.72763518,3.93000482,0.17129204
1.4,0.008,2240937000.0,42055,3.72759975,3.92996594,0.17118928
1.4,0.008,2240937000.0,42054,3.72758795,3.93002419,0.17108392
1.4,0.008,2240937000.0,42053,3.72753877,3.92996776,0.17094375
1.4,0.008,2240937000.0,42052,3.72750735,3.92998755,0.17079839
1.4,0.008,2240937000.0,42051,3.72747726,3.92995313,0.17071252
1.4,0.008,2240937000.0,42040,3.72707793,3.93001549,0.1690541
1.4,0.008,2240937000.0,42050,3.72745699,3.92995732,0.17062733
1.4,0.008,2240937000.0,42048,3.72741057,3.93000749,0.17039166
1.4,0.008,2240937000.0,42047,3.72738138,3.93005229,0.17023021
1.4,0.008,2240937000.0,42046,3.72731445,3.93002915,0.16998586
1.4,0.008,2240937000.0,42045,3.72725128,3.93000215,0.16976033
1.4,0.008,2240937000.0,42044,3.72719657,3.93003987,0.16950389
1.4,0.008,2240937000.0,42043,3.72714949,3.92997834,0.16937725
1.4,0.008,2240937000.0,42042,3.72712536,3.93001569,0.16924346
1.4,0.008,2240937000.0,42049,3.72744775,3.93002014,0.17052762
1.4,0.008,2240937000.0,42058,3.72770337,3.93002143,0.17154798
1.4,0.008,2240937000.0,42020,3.72636179,3.93005175,0.16615535
1.4,0.008,2240937000.0,42018,3.72628738,3.92999006,0.16591962
1.4,0.008,2240937000.0,41996,3.72564482,3.93005496,0.16328661
1.4,0.008,2240937000.0,41995,3.72560716,3.93002705,0.16316401
1.4,0.008,2240937000.0,41994,3.72558085,3.93001926,0.16306665
1.4,0.008,2240937000.0,41993,3.72555578,3.92999085,0.16299486
1.4,0.008,2240937000.0,41992,3.72553498,3.93001086,0.16289176
1.4,0.008,2240937000.0,41991,3.72549532,3.93004769,0.1626964
1.4,0.008,2240937000.0,41990,3.72545865,3.93001299,0.16258453
1.4,0.008,2240937000.0,41997,3.7256899,3.93005956,0.16346219
1.4,0.008,2240937000.0,41989,3.72542752,3.92997584,0.16249725
1.4,0.008,2240937000.0,41987,3.72538695,3.93001548,0.16229552
1.4,0.008,2240937000.0,41986,3.72534373,3.93003049,0.16210773
1.4,0.008,2240937000.0,41985,3.7253054,3.93001291,0.16197213
1.4,0.008,2240937000.0,41984,3.72527168,3.93000218,0.16184804
1.4,0.008,2240937000.0,41983,3.7252524,3.92997425,0.16179893
1.4,0.008,2240937000.0,41982,3.725228,3.92994462,0.16173103
1.4,0.008,2240937000.0,41981,3.72520206,3.93003459,0.16153743
1.4,0.008,2240937000.0,41988,3.72540446,3.929973,0.16240794
1.4,0.008,2240937000.0,42019,3.72632025,3.93001362,0.16602742
1.4,0.008,2240937000.0,41998,3.72575682,3.93000502,0.16378425
1.4,0.008,2240937000.0,42000,3.72581214,3.92998204,0.16402832
1.4,0.008,2240937000.0,42017,3.72626629,3.92999102,0.16583437
1.4,0.008,2240937000.0,42016,3.72624678,3.92997476,0.16577264
1.4,0.008,2240937000.0,42015,3.72622761,3.92998128,0.16568953
