initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.012,5.5,1,1366809.690818116,98677326.01624052,100044135.70705864,98677326.01624052,100044135.70705864,1366809.690818116,1366809.690818116,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0120
0.0125,5.5,1,1049999.4351560622,99270476.80192609,100320476.23708215,99270476.80192609,100320476.23708215,1049999.4351560622,1049999.4351560622,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0125
0.013,5.5,1,729692.0006702244,99923769.13159117,100653461.1322614,99923769.13159117,100653461.1322614,729692.0006702244,729692.0006702244,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0130
0.0135,5.5,1,473651.4011865854,100573836.2654345,101047487.66662109,100573836.2654345,101047487.66662109,473651.4011865854,473651.4011865854,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0135
0.014,5.5,1,149354.23302344978,101277268.1155387,101426622.34856215,101277268.1155387,101426622.34856215,149354.23302344978,149354.23302344978,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_5.5MSUN_z0.0140
0.0015,6.0,2,2097536.8905993104,67251632.9648251,69349169.8554244,67251632.9648251,69349169.8554244,2097536.8905993104,2097536.8905993104,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0015
0.002,6.0,2,1338846.520823583,68654595.01093279,69993441.53175637,68654595.01093279,69993441.53175637,1338846.520823583,1338846.520823583,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0020
0.0025,6.0,1,947836.0159212053,69754333.37926547,70702169.39518668,69754333.37926547,70702169.39518668,947836.0159212053,947836.0159212053,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0025
0.003,6.0,1,481941.05504207313,70781483.73563144,71263424.79067351,70781483.73563144,71263424.79067351,481941.05504207313,481941.05504207313,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0030
0.0035,6.0,1,677869.1922208071,71590858.32640837,72268727.51862918,71590858.32640837,72268727.51862918,677869.1922208071,677869.1922208071,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0035
0.004,6.0,1,933193.5636950433,72268822.93536739,73202016.49906243,72268822.93536739,73202016.49906243,933193.5636950433,933193.5636950433,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos_high/run_nad_convos_high_6.0MSUN_z0.0040
