initial_mass,initial_Z,mesa_run_directory,min_model_number,max_model_number
5.5,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0095,2015.0,2200.0
5.5,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0100,2066.0,2250.0
5.5,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0105,2088.0,2273.0
5.5,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0110,2114.0,2301.0
5.5,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0115,2036.0,2219.0
5.5,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0120,2059.0,2250.0
5.5,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0125,2065.0,2264.0
5.5,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0130,2073.0,2274.0
5.5,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0135,2091.0,2294.0
5.5,0.0140,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0140,2102.0,2311.0
5.5,0.0145,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0145,2110.0,2310.0
5.5,0.0150,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0150,2129.0,2345.0
5.5,0.0155,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0155,2138.0,2351.0
5.5,0.0160,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0160,2141.0,2390.0
5.5,0.0165,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0165,2155.0,2406.0
5.5,0.0170,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0170,2157.0,2401.0
5.5,0.0175,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0175,2306.0,2558.0
5.5,0.0180,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0180,2308.0,2547.0
5.5,0.0185,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0185,2320.0,2548.0
5.5,0.0190,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0190,2335.0,2541.0
5.5,0.0195,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0195,2347.0,2538.0
5.5,0.0200,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0200,2368.0,2547.0
6.0,0.0015,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0015,1696.0,2027.0
6.0,0.0020,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0020,1732.0,1971.0
6.0,0.0025,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0025,1749.0,1978.0
6.0,0.0030,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0030,1785.0,1975.0
6.0,0.0035,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0035,1811.0,1995.0
6.0,0.0040,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0040,1834.0,2020.0
6.0,0.0045,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0045,1832.0,2014.0
6.0,0.0050,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0050,1851.0,2032.0
6.0,0.0055,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0055,1860.0,2046.0
6.0,0.0060,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0060,1866.0,2056.0
6.0,0.0065,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0065,1880.0,2092.0
6.0,0.0070,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0070,1899.0,2115.0
6.0,0.0075,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0075,1883.0,2116.0
6.0,0.0080,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0080,1930.0,2161.0
6.0,0.0085,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0085,1937.0,2165.0
6.0,0.0090,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0090,1988.0,2214.0
6.0,0.0095,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0095,1976.0,2194.0
6.0,0.0100,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0100,2011.0,2227.0
6.0,0.0105,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0105,2055.0,2263.0
6.0,0.0110,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0110,2081.0,2291.0
6.0,0.0115,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0115,2105.0,2308.0
6.0,0.0120,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0120,2032.0,2237.0
6.0,0.0125,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0125,2055.0,2255.0
6.0,0.0130,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0130,2052.0,2251.0
6.0,0.0135,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_6.0MSUN_z0.0135,2071.0,2269.0
