initial_Z,initial_mass,blue_loop_crossing_count,blue_loop_duration_yr,blue_loop_start_age,blue_loop_end_age,instability_start_age,instability_end_age,calculated_blue_loop_duration,calculated_instability_duration,run_dir_path
0.0085,5.0,2,5932998.420866489,104050675.44745047,109983673.86831696,104050675.44745047,109983673.86831696,5932998.420866489,5932998.420866489,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0085
0.009,5.0,2,6254283.604722336,104830213.4312664,111084497.03598873,104830213.4312664,111084497.03598873,6254283.604722336,6254283.604722336,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0090
0.0095,5.0,2,6527680.698099598,105673965.60728769,112201646.30538729,105673965.60728769,112201646.30538729,6527680.698099598,6527680.698099598,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0095
0.01,5.0,2,6674965.803757727,106596087.59929925,113271053.40305698,106596087.59929925,113271053.40305698,6674965.803757727,6674965.803757727,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0100
0.0105,5.0,2,7017684.441412166,107175807.10545865,114193491.54687081,107175807.10545865,114193491.54687081,7017684.441412166,7017684.441412166,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0105
0.011,5.0,2,7063271.604006782,107797128.72940356,114860400.33341034,107797128.72940356,114860400.33341034,7063271.604006782,7063271.604006782,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0110
0.0115,5.0,2,7055287.432672709,108534552.3223959,115589839.75506862,108534552.3223959,115589839.75506862,7055287.432672709,7055287.432672709,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0115
0.012,5.0,2,7171386.5256178975,109168928.84079377,116340315.36641167,109168928.84079377,116340315.36641167,7171386.5256178975,7171386.5256178975,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0120
0.0125,5.0,2,7293833.289115697,109825676.87310728,117119510.16222298,109825676.87310728,117119510.16222298,7293833.289115697,7293833.289115697,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0125
0.013,5.0,2,7375002.395977646,110467369.52764715,117842371.9236248,110467369.52764715,117842371.9236248,7375002.395977646,7375002.395977646,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0130
0.0135,5.0,1,7278853.720652595,111247219.67352828,118526073.39418088,111247219.67352828,118526073.39418088,7278853.720652595,7278853.720652595,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0135
0.014,5.0,1,7513985.220295638,111835063.50930181,119349048.72959745,111835063.50930181,119349048.72959745,7513985.220295638,7513985.220295638,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0140
0.0145,5.0,1,7268107.132378772,112642986.99283575,119911094.12521452,112642986.99283575,119911094.12521452,7268107.132378772,7268107.132378772,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0145
0.015,5.0,1,7254957.818851754,113316724.36369208,120571682.18254383,113316724.36369208,120571682.18254383,7254957.818851754,7254957.818851754,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0150
0.0155,5.0,1,7133282.730563745,114046126.48898466,121179409.2195484,114046126.48898466,121179409.2195484,7133282.730563745,7133282.730563745,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0155
0.016,5.0,1,6758945.391503811,114864919.22378491,121623864.61528872,114864919.22378491,121623864.61528872,6758945.391503811,6758945.391503811,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0160
0.0165,5.0,1,6412702.617968753,115611842.60033119,122024545.21829994,115611842.60033119,122024545.21829994,6412702.617968753,6412702.617968753,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0165
0.017,5.0,1,5969309.888995558,116319444.87494063,122288754.76393619,116319444.87494063,122288754.76393619,5969309.888995558,5969309.888995558,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0170
0.0175,5.0,1,824453.5281903148,117176648.65491983,118001102.18311015,117176648.65491983,118001102.18311015,824453.5281903148,824453.5281903148,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0175
0.018,5.0,1,479038.94628213346,117971604.07404937,118450643.0203315,117971604.07404937,118450643.0203315,479038.94628213346,479038.94628213346,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.0MSUN_z0.0180
0.0015,5.5,2,5877369.29227455,70255591.41182366,76132960.70409821,70255591.41182366,76132960.70409821,5877369.29227455,5877369.29227455,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0015
0.002,5.5,2,5181060.140269995,72161285.90026799,77342346.04053798,72161285.90026799,77342346.04053798,5181060.140269995,5181060.140269995,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0020
0.0025,5.5,2,4497818.113900766,73743817.51439753,78241635.6282983,73743817.51439753,78241635.6282983,4497818.113900766,4497818.113900766,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0025
0.003,5.5,2,3783586.047561571,75351574.29353946,79135160.34110104,75351574.29353946,79135160.34110104,3783586.047561571,3783586.047561571,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0030
0.0035,5.5,2,3059929.9127182513,76920564.73562501,79980494.64834327,76920564.73562501,79980494.64834327,3059929.9127182513,3059929.9127182513,/home/tnd/mesa-r23.05.1/STRANGE/nad_convos/run_nad_convos_5.5MSUN_z0.0035
